model_name,dataset,train_size,repetition,accuracy,precision_macro,recall_macro,f1_macro,k
k-NN,Iris,0.8,10,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,9
k-NN,Wine,0.6,1,0.9444444444444444,0.9523809523809524,0.9540229885057471,0.949667616334283,1
k-NN,Wine,0.6,2,0.9583333333333334,0.9576923076923077,0.9655172413793104,0.9599378399378399,1
k-NN,Wine,0.6,3,0.9444444444444444,0.9426129426129427,0.9540229885057471,0.9453086419753086,1
k-NN,Wine,0.6,4,0.9722222222222222,0.9700000000000001,0.9770114942528735,0.9727455084597941,1
k-NN,Wine,0.6,5,0.9166666666666666,0.9206349206349206,0.9310344827586207,0.9192307692307692,1
k-NN,Wine,0.6,6,0.9305555555555556,0.9357142857142856,0.9425287356321839,0.9343654249314627,1
k-NN,Wine,0.6,7,0.9027777777777778,0.9049145299145299,0.9195402298850576,0.9021553427572581,1
k-NN,Wine,0.6,8,0.9722222222222222,0.9700000000000001,0.9770114942528735,0.9727455084597941,1
k-NN,Wine,0.6,9,0.9305555555555556,0.9312169312169312,0.9425287356321839,0.9322789493155753,1
k-NN,Wine,0.6,10,0.9305555555555556,0.9312169312169312,0.9425287356321839,0.9322789493155753,1
k-NN,Wine,0.6,1,0.9166666666666666,0.9206349206349206,0.9310344827586207,0.9192307692307692,3
k-NN,Wine,0.6,2,0.9305555555555556,0.9357142857142856,0.9425287356321839,0.9343654249314627,3
k-NN,Wine,0.6,3,0.9444444444444444,0.9426129426129427,0.9540229885057471,0.9453086419753086,3
k-NN,Wine,0.6,4,0.9722222222222222,0.9700000000000001,0.9770114942528735,0.9727455084597941,3
k-NN,Wine,0.6,5,0.9305555555555556,0.9357142857142856,0.9425287356321839,0.9343654249314627,3
k-NN,Wine,0.6,6,0.9305555555555556,0.9357142857142856,0.9425287356321839,0.9343654249314627,3
k-NN,Wine,0.6,7,0.9027777777777778,0.9049145299145299,0.9195402298850576,0.9021553427572581,3
k-NN,Wine,0.6,8,0.9583333333333334,0.9549206349206348,0.9655172413793104,0.9583487940630798,3
k-NN,Wine,0.6,9,0.9305555555555556,0.9289044289044289,0.9425287356321839,0.9308298818837245,3
k-NN,Wine,0.6,10,0.9305555555555556,0.9312169312169312,0.9425287356321839,0.9322789493155753,3
k-NN,Wine,0.6,1,0.9444444444444444,0.9462962962962962,0.9540229885057471,0.9471537902910452,5
k-NN,Wine,0.6,2,0.9444444444444444,0.9523809523809524,0.9540229885057471,0.949667616334283,5
k-NN,Wine,0.6,3,0.9305555555555556,0.9312169312169312,0.9425287356321839,0.9322789493155753,5
k-NN,Wine,0.6,4,0.9583333333333334,0.9549206349206348,0.9655172413793104,0.9583487940630798,5
k-NN,Wine,0.6,5,0.9583333333333334,0.9576923076923077,0.9655172413793104,0.9599378399378399,5
k-NN,Wine,0.6,6,0.9722222222222222,0.9700000000000001,0.9770114942528735,0.9727455084597941,5
k-NN,Wine,0.6,7,0.9027777777777778,0.9049145299145299,0.9195402298850576,0.9021553427572581,5
k-NN,Wine,0.6,8,0.9444444444444444,0.9420289855072465,0.9540229885057471,0.9435626102292769,5
k-NN,Wine,0.6,9,0.9444444444444444,0.9426129426129427,0.9540229885057471,0.9453086419753086,5
k-NN,Wine,0.6,10,0.9166666666666666,0.9215037593984962,0.924984875983061,0.9197780776728145,5
k-NN,Wine,0.6,1,0.9583333333333334,0.9576923076923077,0.9655172413793104,0.9599378399378399,7
k-NN,Wine,0.6,2,0.9444444444444444,0.9523809523809524,0.9540229885057471,0.949667616334283,7
k-NN,Wine,0.6,3,0.9444444444444444,0.9426129426129427,0.9540229885057471,0.9453086419753086,7
k-NN,Wine,0.6,4,0.9444444444444444,0.9426129426129427,0.9540229885057471,0.9453086419753086,7
k-NN,Wine,0.6,5,0.9444444444444444,0.9462962962962962,0.9540229885057471,0.9471537902910452,7
k-NN,Wine,0.6,6,0.9722222222222222,0.9700000000000001,0.9770114942528735,0.9727455084597941,7
k-NN,Wine,0.6,7,0.9444444444444444,0.9426129426129427,0.9540229885057471,0.9453086419753086,7
k-NN,Wine,0.6,8,0.9444444444444444,0.9420289855072465,0.9540229885057471,0.9435626102292769,7
k-NN,Wine,0.6,9,0.9444444444444444,0.9426129426129427,0.9540229885057471,0.9453086419753086,7
k-NN,Wine,0.6,10,0.9444444444444444,0.9462962962962962,0.9540229885057471,0.9471537902910452,7
k-NN,Wine,0.6,1,0.9583333333333334,0.9629629629629629,0.9655172413793104,0.962210338680927,9
k-NN,Wine,0.6,2,0.9444444444444444,0.9523809523809524,0.9540229885057471,0.949667616334283,9
k-NN,Wine,0.6,3,0.9583333333333334,0.9576923076923077,0.9655172413793104,0.9599378399378399,9
k-NN,Wine,0.6,4,0.9722222222222222,0.9700000000000001,0.9770114942528735,0.9727455084597941,9
k-NN,Wine,0.6,5,0.9583333333333334,0.9576923076923077,0.9655172413793104,0.9599378399378399,9
k-NN,Wine,0.6,6,0.9722222222222222,0.9700000000000001,0.9770114942528735,0.9727455084597941,9
k-NN,Wine,0.6,7,0.9305555555555556,0.9289044289044289,0.9425287356321839,0.9308298818837245,9
k-NN,Wine,0.6,8,0.9444444444444444,0.9420289855072465,0.9540229885057471,0.9435626102292769,9
k-NN,Wine,0.6,9,0.9305555555555556,0.9312169312169312,0.9425287356321839,0.9322789493155753,9
k-NN,Wine,0.6,10,0.9166666666666666,0.9215037593984962,0.924984875983061,0.9197780776728145,9
k-NN,Wine,0.7,1,1.0,1.0,1.0,1.0,1
k-NN,Wine,0.7,2,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144,1
k-NN,Wine,0.7,3,0.9444444444444444,0.9458333333333333,0.9523809523809524,0.9460624265378086,1
k-NN,Wine,0.7,4,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814,1
k-NN,Wine,0.7,5,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814,1
k-NN,Wine,0.7,6,0.9444444444444444,0.9458333333333333,0.9523809523809524,0.9460624265378086,1
k-NN,Wine,0.7,7,0.9259259259259259,0.9274509803921568,0.9365079365079364,0.9265350877192983,1
k-NN,Wine,0.7,8,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144,1
k-NN,Wine,0.7,9,0.9259259259259259,0.9315476190476191,0.9365079365079364,0.9285185668886857,1
k-NN,Wine,0.7,10,0.9444444444444444,0.9523809523809524,0.9523809523809524,0.9487179487179488,1
k-NN,Wine,0.7,1,0.9629629629629629,0.9607843137254902,0.9682539682539683,0.9625,3
k-NN,Wine,0.7,2,0.9444444444444444,0.9458333333333333,0.9523809523809524,0.9460624265378086,3
k-NN,Wine,0.7,3,0.9259259259259259,0.9315476190476191,0.9365079365079364,0.9285185668886857,3
k-NN,Wine,0.7,4,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814,3
k-NN,Wine,0.7,5,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814,3
k-NN,Wine,0.7,6,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814,3
k-NN,Wine,0.7,7,0.9259259259259259,0.9274509803921568,0.9365079365079364,0.9265350877192983,3
k-NN,Wine,0.7,8,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144,3
k-NN,Wine,0.7,9,0.9444444444444444,0.9458333333333333,0.9523809523809524,0.9460624265378086,3
k-NN,Wine,0.7,10,0.9444444444444444,0.9523809523809524,0.9523809523809524,0.9487179487179488,3
k-NN,Wine,0.7,1,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814,5
k-NN,Wine,0.7,2,0.9259259259259259,0.9315476190476191,0.9365079365079364,0.9285185668886857,5
k-NN,Wine,0.7,3,0.9259259259259259,0.9315476190476191,0.9365079365079364,0.9285185668886857,5
k-NN,Wine,0.7,4,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144,5
k-NN,Wine,0.7,5,0.9444444444444444,0.9458333333333333,0.9523809523809524,0.9460624265378086,5
k-NN,Wine,0.7,6,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814,5
k-NN,Wine,0.7,7,0.9444444444444444,0.9458333333333333,0.9523809523809524,0.9460624265378086,5
k-NN,Wine,0.7,8,0.9629629629629629,0.9607843137254902,0.9682539682539683,0.9625,5
k-NN,Wine,0.7,9,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814,5
k-NN,Wine,0.7,10,0.9259259259259259,0.9393939393939394,0.9365079365079364,0.9315789473684211,5
k-NN,Wine,0.7,1,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814,7
k-NN,Wine,0.7,2,0.9259259259259259,0.9393939393939394,0.9365079365079364,0.9315789473684211,7
k-NN,Wine,0.7,3,0.9074074074074074,0.9185606060606061,0.9206349206349206,0.9108689334495786,7
k-NN,Wine,0.7,4,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814,7
k-NN,Wine,0.7,5,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814,7
k-NN,Wine,0.7,6,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814,7
k-NN,Wine,0.7,7,0.9259259259259259,0.9274509803921568,0.9365079365079364,0.9265350877192983,7
k-NN,Wine,0.7,8,0.9259259259259259,0.9298245614035089,0.9365079365079364,0.9256965944272446,7
k-NN,Wine,0.7,9,0.9444444444444444,0.9458333333333333,0.9523809523809524,0.9460624265378086,7
k-NN,Wine,0.7,10,0.9629629629629629,0.9666666666666667,0.9682539682539683,0.9657894736842105,7
k-NN,Wine,0.7,1,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814,9
k-NN,Wine,0.7,2,0.9629629629629629,0.9666666666666667,0.9682539682539683,0.9657894736842105,9
k-NN,Wine,0.7,3,0.9259259259259259,0.9274509803921568,0.9365079365079364,0.9265350877192983,9
k-NN,Wine,0.7,4,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814,9
k-NN,Wine,0.7,5,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814,9
k-NN,Wine,0.7,6,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814,9
k-NN,Wine,0.7,7,0.9259259259259259,0.9274509803921568,0.9365079365079364,0.9265350877192983,9
k-NN,Wine,0.7,8,0.9259259259259259,0.9298245614035089,0.9365079365079364,0.9256965944272446,9
k-NN,Wine,0.7,9,0.9444444444444444,0.9458333333333333,0.9523809523809524,0.9460624265378086,9
k-NN,Wine,0.7,10,0.9629629629629629,0.9666666666666667,0.9682539682539683,0.9657894736842105,9
k-NN,Wine,0.8,1,1.0,1.0,1.0,1.0,1
k-NN,Wine,0.8,2,1.0,1.0,1.0,1.0,1
k-NN,Wine,0.8,3,0.9166666666666666,0.9220779220779222,0.9285714285714285,0.9184859584859586,1
k-NN,Wine,0.8,4,0.9722222222222222,0.9696969696969697,0.9761904761904763,0.9717813051146384,1
k-NN,Wine,0.8,5,0.9444444444444444,0.9444444444444445,0.9523809523809524,0.9440559440559441,1
k-NN,Wine,0.8,6,0.9722222222222222,0.9743589743589745,0.9761904761904763,0.974320987654321,1
k-NN,Wine,0.8,7,0.9444444444444444,0.9440559440559441,0.9523809523809524,0.9451526251526251,1
k-NN,Wine,0.8,8,0.9722222222222222,0.9696969696969697,0.9761904761904763,0.9717813051146384,1
k-NN,Wine,0.8,9,0.9166666666666666,0.9220779220779222,0.9285714285714285,0.9184859584859586,1
k-NN,Wine,0.8,10,0.9722222222222222,0.9743589743589745,0.9761904761904763,0.974320987654321,1
k-NN,Wine,0.8,1,1.0,1.0,1.0,1.0,3
k-NN,Wine,0.8,2,1.0,1.0,1.0,1.0,3
k-NN,Wine,0.8,3,0.9166666666666666,0.9220779220779222,0.9285714285714285,0.9184859584859586,3
k-NN,Wine,0.8,4,0.9722222222222222,0.9696969696969697,0.9761904761904763,0.9717813051146384,3
k-NN,Wine,0.8,5,0.9722222222222222,0.9696969696969697,0.9761904761904763,0.9717813051146384,3
k-NN,Wine,0.8,6,0.9722222222222222,0.9743589743589745,0.9761904761904763,0.974320987654321,3
k-NN,Wine,0.8,7,0.9444444444444444,0.9440559440559441,0.9523809523809524,0.9451526251526251,3
k-NN,Wine,0.8,8,0.9722222222222222,0.9696969696969697,0.9761904761904763,0.9717813051146384,3
k-NN,Wine,0.8,9,0.9444444444444444,0.9440559440559441,0.9523809523809524,0.9451526251526251,3
k-NN,Wine,0.8,10,1.0,1.0,1.0,1.0,3
k-NN,Wine,0.8,1,0.9444444444444444,0.9440559440559441,0.9523809523809524,0.9451526251526251,5
k-NN,Wine,0.8,2,0.9722222222222222,0.9696969696969697,0.9761904761904763,0.9717813051146384,5
k-NN,Wine,0.8,3,0.9722222222222222,0.9743589743589745,0.9761904761904763,0.974320987654321,5
k-NN,Wine,0.8,4,0.9722222222222222,0.9696969696969697,0.9761904761904763,0.9717813051146384,5
k-NN,Wine,0.8,5,0.9722222222222222,0.9696969696969697,0.9761904761904763,0.9717813051146384,5
k-NN,Wine,0.8,6,0.9722222222222222,0.9743589743589745,0.9761904761904763,0.974320987654321,5
k-NN,Wine,0.8,7,0.9166666666666666,0.9220779220779222,0.9285714285714285,0.9184859584859586,5
k-NN,Wine,0.8,8,1.0,1.0,1.0,1.0,5
k-NN,Wine,0.8,9,0.9722222222222222,0.9696969696969697,0.9761904761904763,0.9717813051146384,5
k-NN,Wine,0.8,10,1.0,1.0,1.0,1.0,5
k-NN,Wine,0.8,1,1.0,1.0,1.0,1.0,7
k-NN,Wine,0.8,2,1.0,1.0,1.0,1.0,7
k-NN,Wine,0.8,3,0.9166666666666666,0.9220779220779222,0.9285714285714285,0.9184859584859586,7
k-NN,Wine,0.8,4,0.9722222222222222,0.9696969696969697,0.9761904761904763,0.9717813051146384,7
k-NN,Wine,0.8,5,0.9444444444444444,0.9440559440559441,0.9523809523809524,0.9451526251526251,7
k-NN,Wine,0.8,6,0.9722222222222222,0.9743589743589745,0.9761904761904763,0.974320987654321,7
k-NN,Wine,0.8,7,0.9444444444444444,0.9440559440559441,0.9523809523809524,0.9451526251526251,7
k-NN,Wine,0.8,8,0.9722222222222222,0.9696969696969697,0.9761904761904763,0.9717813051146384,7
k-NN,Wine,0.8,9,0.9444444444444444,0.9440559440559441,0.9523809523809524,0.9451526251526251,7
k-NN,Wine,0.8,10,1.0,1.0,1.0,1.0,7
k-NN,Wine,0.8,1,0.9722222222222222,0.9743589743589745,0.9761904761904763,0.974320987654321,9
k-NN,Wine,0.8,2,0.9722222222222222,0.9743589743589745,0.9761904761904763,0.974320987654321,9
k-NN,Wine,0.8,3,0.9444444444444444,0.9523809523809524,0.9523809523809524,0.9487179487179488,9
k-NN,Wine,0.8,4,0.9722222222222222,0.9696969696969697,0.9761904761904763,0.9717813051146384,9
k-NN,Wine,0.8,5,0.9444444444444444,0.9440559440559441,0.9523809523809524,0.9451526251526251,9
k-NN,Wine,0.8,6,0.9722222222222222,0.9743589743589745,0.9761904761904763,0.974320987654321,9
k-NN,Wine,0.8,7,0.9444444444444444,0.9440559440559441,0.9523809523809524,0.9451526251526251,9
k-NN,Wine,0.8,8,1.0,1.0,1.0,1.0,9
k-NN,Wine,0.8,9,0.9444444444444444,0.9440559440559441,0.9523809523809524,0.9451526251526251,9
k-NN,Wine,0.8,10,1.0,1.0,1.0,1.0,9
