model_name,dataset,train_size,repetition,accuracy,precision_macro,recall_macro,f1_macro
Naive Bayes,Iris,0.6,1,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
Naive Bayes,Iris,0.6,2,0.9833333333333333,0.9841269841269842,0.9833333333333334,0.9833229101521784
Naive Bayes,Iris,0.6,3,1.0,1.0,1.0,1.0
Naive Bayes,Iris,0.6,4,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
Naive Bayes,Iris,0.6,5,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
Naive Bayes,Iris,0.6,6,0.95,0.9507101086048454,0.9500000000000001,0.9499687304565354
Naive Bayes,Iris,0.6,7,0.9833333333333333,0.9841269841269842,0.9833333333333334,0.9833229101521784
Naive Bayes,Iris,0.6,8,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
Naive Bayes,Iris,0.6,9,0.9166666666666666,0.9172932330827068,0.9166666666666666,0.9166145507608922
Naive Bayes,Iris,0.6,10,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332
Naive Bayes,Iris,0.7,1,0.9782608695652174,0.9791666666666666,0.9777777777777779,0.9777530589543938
Naive Bayes,Iris,0.7,2,0.9782608695652174,0.9803921568627452,0.9777777777777779,0.9784047370254267
Naive Bayes,Iris,0.7,3,1.0,1.0,1.0,1.0
Naive Bayes,Iris,0.7,4,0.9347826086956522,0.9361111111111112,0.9361111111111112,0.935483870967742
Naive Bayes,Iris,0.7,5,0.9565217391304348,0.9569444444444445,0.9569444444444445,0.9569444444444445
Naive Bayes,Iris,0.7,6,0.9347826086956522,0.9361111111111112,0.9361111111111112,0.935483870967742
Naive Bayes,Iris,0.7,7,0.9782608695652174,0.9791666666666666,0.9791666666666666,0.978494623655914
Naive Bayes,Iris,0.7,8,0.9565217391304348,0.9555555555555556,0.9555555555555556,0.9555555555555556
Naive Bayes,Iris,0.7,9,0.8913043478260869,0.898148148148148,0.8888888888888888,0.8877665544332212
Naive Bayes,Iris,0.7,10,0.9347826086956522,0.9361111111111112,0.9361111111111112,0.935483870967742
Naive Bayes,Iris,0.8,1,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778613
Naive Bayes,Iris,0.8,2,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778613
Naive Bayes,Iris,0.8,3,1.0,1.0,1.0,1.0
Naive Bayes,Iris,0.8,4,0.9,0.9023569023569024,0.9,0.899749373433584
Naive Bayes,Iris,0.8,5,1.0,1.0,1.0,1.0
Naive Bayes,Iris,0.8,6,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778613
Naive Bayes,Iris,0.8,7,0.9333333333333333,0.9444444444444445,0.9333333333333332,0.9326599326599326
Naive Bayes,Iris,0.8,8,1.0,1.0,1.0,1.0
Naive Bayes,Iris,0.8,9,0.9,0.9023569023569024,0.9,0.899749373433584
Naive Bayes,Iris,0.8,10,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778612
Naive Bayes,Wine,0.6,1,0.9722222222222222,0.978494623655914,0.9685672514619883,0.9727876812983197
Naive Bayes,Wine,0.6,2,0.9861111111111112,0.9888888888888889,0.9861111111111112,0.9872580839043154
Naive Bayes,Wine,0.6,3,0.9722222222222222,0.978494623655914,0.9722222222222222,0.9743961352657005
Naive Bayes,Wine,0.6,4,0.9722222222222222,0.978494623655914,0.9722222222222222,0.9743961352657005
Naive Bayes,Wine,0.6,5,0.9722222222222222,0.9700000000000001,0.9770114942528735,0.9727455084597941
Naive Bayes,Wine,0.6,6,0.9722222222222222,0.9700000000000001,0.9770114942528735,0.9727455084597941
Naive Bayes,Wine,0.6,7,0.9583333333333334,0.9563492063492064,0.9631226053639846,0.9586972751026502
Naive Bayes,Wine,0.6,8,0.9861111111111112,0.9888888888888889,0.9861111111111112,0.9872580839043154
Naive Bayes,Wine,0.6,9,0.9722222222222222,0.9682539682539683,0.9770114942528735,0.9714285714285715
Naive Bayes,Wine,0.6,10,0.9722222222222222,0.9700000000000001,0.9770114942528735,0.9727455084597941
Naive Bayes,Wine,0.7,1,0.9629629629629629,0.9632936507936508,0.9656084656084656,0.9638504864311316
Naive Bayes,Wine,0.7,2,0.9814814814814815,0.9848484848484849,0.9814814814814815,0.9827242524916944
Naive Bayes,Wine,0.7,3,0.9814814814814815,0.9848484848484849,0.9814814814814815,0.9827242524916944
Naive Bayes,Wine,0.7,4,0.9629629629629629,0.9710144927536232,0.9629629629629629,0.9652406417112299
Naive Bayes,Wine,0.7,5,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
Naive Bayes,Wine,0.7,6,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
Naive Bayes,Wine,0.7,7,0.9629629629629629,0.9632936507936508,0.9656084656084656,0.9638504864311316
Naive Bayes,Wine,0.7,8,0.9629629629629629,0.9632936507936508,0.9656084656084656,0.9638504864311316
Naive Bayes,Wine,0.7,9,0.9814814814814815,0.9824561403508771,0.9841269841269842,0.9828609096901779
Naive Bayes,Wine,0.7,10,0.9814814814814815,0.9824561403508771,0.9841269841269842,0.9828609096901779
Naive Bayes,Wine,0.8,1,0.9722222222222222,0.9777777777777779,0.9722222222222222,0.9740129935032483
Naive Bayes,Wine,0.8,2,1.0,1.0,1.0,1.0
Naive Bayes,Wine,0.8,3,0.9722222222222222,0.9777777777777779,0.9722222222222222,0.9740129935032483
Naive Bayes,Wine,0.8,4,0.9444444444444444,0.9583333333333334,0.9444444444444445,0.9474747474747475
Naive Bayes,Wine,0.8,5,1.0,1.0,1.0,1.0
Naive Bayes,Wine,0.8,6,1.0,1.0,1.0,1.0
Naive Bayes,Wine,0.8,7,0.9444444444444444,0.9458874458874459,0.9484126984126985,0.945824706694272
Naive Bayes,Wine,0.8,8,0.9444444444444444,0.9458874458874459,0.9484126984126985,0.945824706694272
Naive Bayes,Wine,0.8,9,0.9722222222222222,0.9777777777777779,0.9722222222222222,0.9740129935032483
Naive Bayes,Wine,0.8,10,1.0,1.0,1.0,1.0
